timestamp,id_trem,linha,id_bloco,tipo_sinalizacao,comprimento_bloco_m,headway_seg,aspecto_sinal,velocidade_permitida_kmh,tempo_ocupacao_circuito_seg
2024-03-04 06:07:16.942990604,A0001,Linha A - Bloco Fixo,A-B05,Bloco Fixo,385.0,165.4,Amarelo,62.7,22.2
2024-03-04 06:07:16.984164227,B0003,Linha B - CBTC,B-B04,CBTC,513.0,81.4,Amarelo,47.1,40.2
2024-03-04 06:07:36.716891535,B0003,Linha B - CBTC,B-B03,CBTC,397.0,81.9,Amarelo,46.6,29.9
2024-03-04 06:07:43.964896733,B0001,Linha B - CBTC,B-B05,CBTC,775.0,87.2,Amarelo,51.6,56.5
2024-03-04 06:07:56.045516657,B0004,Linha B - CBTC,B-B02,CBTC,738.0,96.9,Verde,82.2,32.3
2024-03-04 06:08:03.484463958,A0002,Linha A - Bloco Fixo,A-B01,Bloco Fixo,997.0,267.6,Verde,116.8,30.3
2024-03-04 06:08:30.145110485,B0005,Linha B - CBTC,B-B01,CBTC,784.0,86.1,Amarelo,42.0,67.0
2024-03-04 06:08:43.147584231,A0002,Linha A - Bloco Fixo,A-B03,Bloco Fixo,1073.0,255.8,Verde,110.6,35.4
2024-03-04 06:08:51.023255452,B0004,Linha B - CBTC,B-B04,CBTC,513.0,94.9,Verde,88.2,20.0
2024-03-04 06:09:10.755982760,B0004,Linha B - CBTC,B-B03,CBTC,397.0,95.9,Verde,85.4,16.0
2024-03-04 06:09:13.706585927,A0002,Linha A - Bloco Fixo,A-B02,Bloco Fixo,695.0,251.6,Verde,119.8,20.3
2024-03-04 06:09:33.176067932,B0005,Linha B - CBTC,B-B02,CBTC,738.0,93.6,Verde,89.6,30.5
2024-03-04 06:09:43.687593818,B0002,Linha B - CBTC,B-B05,CBTC,775.0,102.7,Verde,89.0,30.2
2024-03-04 06:10:28.153806727,B0005,Linha B - CBTC,B-B04,CBTC,513.0,99.6,Verde,84.5,22.9
2024-03-04 06:10:29.680520144,A0002,Linha A - Bloco Fixo,A-B04,Bloco Fixo,928.0,257.1,Verde,109.4,29.8
2024-03-04 06:10:47.886534035,B0005,Linha B - CBTC,B-B03,CBTC,397.0,95.4,Verde,82.7,18.0
2024-03-04 06:10:49.967912713,B0006,Linha B - CBTC,B-B01,CBTC,784.0,157.7,Verde,87.2,34.1
2024-03-04 06:10:56.171062212,B0003,Linha B - CBTC,B-B05,CBTC,775.0,73.0,Amarelo,38.5,69.4
2024-03-04 06:11:24.613414794,A0002,Linha A - Bloco Fixo,A-B05,Bloco Fixo,385.0,221.9,Verde,117.2,12.3
2024-03-04 06:11:44.509908418,A0003,Linha A - Bloco Fixo,A-B01,Bloco Fixo,997.0,195.0,Verde,110.4,32.3
2024-03-04 06:11:52.998870160,B0006,Linha B - CBTC,B-B02,CBTC,738.0,152.0,Verde,83.6,30.4
2024-03-04 06:12:21.100480139,B0007,Linha B - CBTC,B-B01,CBTC,784.0,78.2,Amarelo,40.9,71.4
2024-03-04 06:12:24.173028691,A0003,Linha A - Bloco Fixo,A-B03,Bloco Fixo,1073.0,204.8,Verde,109.2,35.0
2024-03-04 06:12:30.210153437,B0004,Linha B - CBTC,B-B05,CBTC,775.0,89.0,Amarelo,42.6,68.6
2024-03-04 06:12:47.976608955,B0006,Linha B - CBTC,B-B04,CBTC,513.0,140.2,Verde,85.8,21.0
2024-03-04 06:12:54.732030387,A0003,Linha A - Bloco Fixo,A-B02,Bloco Fixo,695.0,231.2,Verde,112.3,21.5
2024-03-04 06:13:00.119239175,B0008,Linha B - CBTC,B-B01,CBTC,784.0,43.0,Vermelho,1.3,564.5
2024-03-04 06:13:07.709336263,B0006,Linha B - CBTC,B-B03,CBTC,397.0,148.4,Verde,81.9,16.9
2024-03-04 06:13:24.131437586,B0007,Linha B - CBTC,B-B02,CBTC,738.0,79.2,Amarelo,37.0,73.5
2024-03-04 06:14:03.150196622,B0008,Linha B - CBTC,B-B02,CBTC,738.0,36.1,Vermelho,0.3,531.4
2024-03-04 06:14:07.340704712,B0005,Linha B - CBTC,B-B05,CBTC,775.0,89.1,Amarelo,36.9,73.7
2024-03-04 06:14:10.705964604,A0003,Linha A - Bloco Fixo,A-B04,Bloco Fixo,928.0,237.4,Verde,110.9,30.9
2024-03-04 06:14:19.109176381,B0007,Linha B - CBTC,B-B04,CBTC,513.0,78.4,Amarelo,37.3,48.2
2024-03-04 06:14:38.841903689,B0007,Linha B - CBTC,B-B03,CBTC,397.0,100.4,Verde,84.1,16.3
2024-03-04 06:14:52.730355367,B0009,Linha B - CBTC,B-B01,CBTC,784.0,98.3,Verde,87.2,32.2
2024-03-04 06:14:58.127935417,B0008,Linha B - CBTC,B-B04,CBTC,513.0,39.0,Vermelho,4.6,369.4
2024-03-04 06:15:05.638859254,A0003,Linha A - Bloco Fixo,A-B05,Bloco Fixo,385.0,236.9,Verde,118.1,11.7
2024-03-04 06:15:17.860662725,B0008,Linha B - CBTC,B-B03,CBTC,397.0,39.8,Vermelho,7.1,207.0
2024-03-04 06:15:43.501838967,A0004,Linha A - Bloco Fixo,A-B01,Bloco Fixo,997.0,268.8,Verde,116.3,32.0
2024-03-04 06:15:55.761312814,B0009,Linha B - CBTC,B-B02,CBTC,738.0,103.5,Verde,84.2,32.4
2024-03-04 06:16:15.254809039,B0010,Linha B - CBTC,B-B01,CBTC,784.0,75.0,Amarelo,44.3,64.8
2024-03-04 06:16:23.164959240,A0004,Linha A - Bloco Fixo,A-B03,Bloco Fixo,1073.0,248.0,Verde,110.5,36.6
2024-03-04 06:16:27.163506940,B0006,Linha B - CBTC,B-B05,CBTC,775.0,138.6,Verde,83.1,32.8
2024-03-04 06:16:50.739051609,B0009,Linha B - CBTC,B-B04,CBTC,513.0,104.6,Verde,81.3,23.5
2024-03-04 06:16:53.723960936,A0004,Linha A - Bloco Fixo,A-B02,Bloco Fixo,695.0,272.7,Verde,117.8,20.4
2024-03-04 06:17:10.471778917,B0009,Linha B - CBTC,B-B03,CBTC,397.0,119.4,Verde,89.6,15.9
2024-03-04 06:17:18.285766486,B0010,Linha B - CBTC,B-B02,CBTC,738.0,94.5,Verde,83.9,32.1
2024-03-04 06:17:56.320584650,B0011,Linha B - CBTC,B-B01,CBTC,784.0,86.0,Amarelo,39.3,71.5
2024-03-04 06:17:58.296074366,B0007,Linha B - CBTC,B-B05,CBTC,775.0,100.5,Verde,85.5,31.1
2024-03-04 06:18:09.697895153,A0004,Linha A - Bloco Fixo,A-B04,Bloco Fixo,928.0,267.3,Verde,114.0,28.4
2024-03-04 06:18:13.263505281,B0010,Linha B - CBTC,B-B04,CBTC,513.0,78.6,Amarelo,39.2,47.7
2024-03-04 06:18:32.996232589,B0010,Linha B - CBTC,B-B03,CBTC,397.0,88.7,Amarelo,37.1,36.9
2024-03-04 06:18:37.314833402,B0008,Linha B - CBTC,B-B05,CBTC,775.0,43.9,Vermelho,1.9,558.0
2024-03-04 06:18:52.319203313,A0005,Linha A - Bloco Fixo,A-B01,Bloco Fixo,997.0,173.5,Amarelo,51.4,66.8
2024-03-04 06:18:59.351542097,B0011,Linha B - CBTC,B-B02,CBTC,738.0,107.3,Verde,89.1,30.3
2024-03-04 06:19:04.630789803,A0004,Linha A - Bloco Fixo,A-B05,Bloco Fixo,385.0,208.5,Verde,118.7,12.1
2024-03-04 06:19:31.982323586,A0005,Linha A - Bloco Fixo,A-B03,Bloco Fixo,1073.0,178.6,Amarelo,66.2,58.6
2024-03-04 06:19:34.152967129,B0012,Linha B - CBTC,B-B01,CBTC,784.0,96.2,Verde,85.9,33.8
2024-03-04 06:19:54.329280892,B0011,Linha B - CBTC,B-B04,CBTC,513.0,105.6,Verde,84.4,21.1
2024-03-04 06:20:02.541325282,A0005,Linha A - Bloco Fixo,A-B02,Bloco Fixo,695.0,216.3,Verde,111.8,21.3
2024-03-04 06:20:14.062008200,B0011,Linha B - CBTC,B-B03,CBTC,397.0,106.4,Verde,86.5,15.8
2024-03-04 06:20:29.925949594,B0009,Linha B - CBTC,B-B05,CBTC,775.0,106.0,Verde,87.6,32.5
2024-03-04 06:20:37.183924576,B0012,Linha B - CBTC,B-B02,CBTC,738.0,101.3,Verde,86.1,30.8
2024-03-04 06:21:07.310367233,B0013,Linha B - CBTC,B-B01,CBTC,784.0,88.5,Amarelo,45.5,65.1
2024-03-04 06:21:18.515259499,A0005,Linha A - Bloco Fixo,A-B04,Bloco Fixo,928.0,175.9,Amarelo,66.8,49.8
2024-03-04 06:21:32.161663371,B0012,Linha B - CBTC,B-B04,CBTC,513.0,97.8,Verde,85.3,21.6
2024-03-04 06:21:51.894390679,B0012,Linha B - CBTC,B-B03,CBTC,397.0,105.1,Verde,84.4,17.6
2024-03-04 06:21:52.450403266,B0010,Linha B - CBTC,B-B05,CBTC,775.0,74.0,Amarelo,36.5,76.8
2024-03-04 06:22:10.341324680,B0013,Linha B - CBTC,B-B02,CBTC,738.0,79.3,Amarelo,37.4,68.4
2024-03-04 06:22:13.448154149,A0005,Linha A - Bloco Fixo,A-B05,Bloco Fixo,385.0,201.8,Verde,113.2,11.9
2024-03-04 06:23:05.319063475,B0013,Linha B - CBTC,B-B04,CBTC,513.0,81.8,Amarelo,37.8,48.1
2024-03-04 06:23:07.068881778,B0014,Linha B - CBTC,B-B01,CBTC,784.0,107.8,Verde,89.4,30.2
2024-03-04 06:23:25.051790783,B0013,Linha B - CBTC,B-B03,CBTC,397.0,85.0,Amarelo,50.8,28.6
2024-03-04 06:23:33.516178877,B0011,Linha B - CBTC,B-B05,CBTC,775.0,107.7,Verde,82.8,32.5
2024-03-04 06:23:45.083081805,A0006,Linha A - Bloco Fixo,A-B01,Bloco Fixo,997.0,252.1,Verde,118.3,31.0
2024-03-04 06:24:08.747259819,B0015,Linha B - CBTC,B-B01,CBTC,784.0,60.8,Amarelo,48.7,60.3
2024-03-04 06:24:10.099839225,B0014,Linha B - CBTC,B-B02,CBTC,738.0,108.4,Verde,89.3,30.4
2024-03-04 06:24:24.746202078,A0006,Linha A - Bloco Fixo,A-B03,Bloco Fixo,1073.0,334.6,Verde,113.1,34.1
2024-03-04 06:24:55.305203774,A0006,Linha A - Bloco Fixo,A-B02,Bloco Fixo,695.0,274.2,Verde,117.6,20.3
2024-03-04 06:25:05.077578020,B0014,Linha B - CBTC,B-B04,CBTC,513.0,104.4,Verde,83.3,21.6
2024-03-04 06:25:11.348561356,B0012,Linha B - CBTC,B-B05,CBTC,775.0,100.2,Verde,82.9,32.9
2024-03-04 06:25:11.778217266,B0015,Linha B - CBTC,B-B02,CBTC,738.0,64.2,Amarelo,49.1,54.0
2024-03-04 06:25:24.810305328,B0014,Linha B - CBTC,B-B03,CBTC,397.0,119.7,Verde,81.4,17.2
2024-03-04 06:25:35.821904195,B0016,Linha B - CBTC,B-B01,CBTC,784.0,84.5,Amarelo,46.4,63.2
2024-03-04 06:26:06.755956061,B0015,Linha B - CBTC,B-B04,CBTC,513.0,55.9,Amarelo,49.8,35.9
2024-03-04 06:26:11.279137991,A0006,Linha A - Bloco Fixo,A-B04,Bloco Fixo,928.0,258.6,Verde,114.1,28.5
2024-03-04 06:26:26.488683369,B0015,Linha B - CBTC,B-B03,CBTC,397.0,63.3,Amarelo,39.9,36.8
2024-03-04 06:26:38.852861642,B0016,Linha B - CBTC,B-B02,CBTC,738.0,83.9,Amarelo,51.6,52.3
2024-03-04 06:26:44.505961460,B0013,Linha B - CBTC,B-B05,CBTC,775.0,84.8,Amarelo,53.8,52.0
2024-03-04 06:27:06.212032641,A0006,Linha A - Bloco Fixo,A-B05,Bloco Fixo,385.0,323.4,Verde,117.2,11.8
2024-03-04 06:27:32.922852023,B0017,Linha B - CBTC,B-B01,CBTC,784.0,126.5,Verde,84.5,34.6
2024-03-04 06:27:33.830600437,B0016,Linha B - CBTC,B-B04,CBTC,513.0,79.0,Amarelo,51.0,36.3
2024-03-04 06:27:53.563327745,B0016,Linha B - CBTC,B-B03,CBTC,397.0,74.1,Amarelo,50.5,28.8
2024-03-04 06:28:31.750597931,A0007,Linha A - Bloco Fixo,A-B01,Bloco Fixo,997.0,291.4,Verde,109.6,32.5
2024-03-04 06:28:35.953809470,B0017,Linha B - CBTC,B-B02,CBTC,738.0,132.0,Verde,83.7,30.8
2024-03-04 06:28:44.264476005,B0014,Linha B - CBTC,B-B05,CBTC,775.0,129.1,Verde,89.8,31.9
2024-03-04 06:28:57.570732640,B0018,Linha B - CBTC,B-B01,CBTC,784.0,94.6,Verde,88.5,30.4
2024-03-04 06:29:11.413718204,A0007,Linha A - Bloco Fixo,A-B03,Bloco Fixo,1073.0,278.0,Verde,110.1,36.1
2024-03-04 06:29:30.931548265,B0017,Linha B - CBTC,B-B04,CBTC,513.0,120.9,Verde,81.3,22.7
2024-03-04 06:29:41.972719900,A0007,Linha A - Bloco Fixo,A-B02,Bloco Fixo,695.0,306.8,Verde,115.2,20.8
2024-03-04 06:29:45.942854046,B0015,Linha B - CBTC,B-B05,CBTC,775.0,62.0,Amarelo,44.9,60.8
2024-03-04 06:29:50.664275573,B0017,Linha B - CBTC,B-B03,CBTC,397.0,129.6,Verde,86.4,17.4
2024-03-04 06:29:57.350564908,B0019,Linha B - CBTC,B-B01,CBTC,784.0,62.5,Amarelo,37.7,74.0
2024-03-04 06:30:00.601690087,B0018,Linha B - CBTC,B-B02,CBTC,738.0,91.4,Verde,82.0,33.5
2024-03-04 06:30:55.579428882,B0018,Linha B - CBTC,B-B04,CBTC,513.0,76.5,Amarelo,39.4,45.9
2024-03-04 06:30:57.946654117,A0007,Linha A - Bloco Fixo,A-B04,Bloco Fixo,928.0,325.9,Verde,115.0,29.1
2024-03-04 06:31:00.381522355,B0019,Linha B - CBTC,B-B02,CBTC,738.0,58.8,Amarelo,38.6,71.7
2024-03-04 06:31:13.017498422,B0016,Linha B - CBTC,B-B05,CBTC,775.0,91.1,Verde,84.9,31.7
2024-03-04 06:31:15.312156190,B0018,Linha B - CBTC,B-B03,CBTC,397.0,87.4,Amarelo,45.6,32.5
2024-03-04 06:31:52.879548767,A0007,Linha A - Bloco Fixo,A-B05,Bloco Fixo,385.0,284.3,Verde,117.7,11.5
2024-03-04 06:31:54.064448489,B0020,Linha B - CBTC,B-B01,CBTC,784.0,103.6,Verde,81.7,34.2
2024-03-04 06:31:55.359261150,B0019,Linha B - CBTC,B-B04,CBTC,513.0,66.6,Amarelo,39.9,47.4
2024-03-04 06:32:15.091988458,B0019,Linha B - CBTC,B-B03,CBTC,397.0,53.1,Vermelho,5.4,263.0
2024-03-04 06:32:35.712439784,A0008,Linha A - Bloco Fixo,A-B01,Bloco Fixo,997.0,234.5,Verde,115.4,30.5
2024-03-04 06:32:57.095405936,B0020,Linha B - CBTC,B-B02,CBTC,738.0,125.5,Verde,86.0,30.9
2024-03-04 06:33:10.118446250,B0017,Linha B - CBTC,B-B05,CBTC,775.0,112.2,Verde,82.6,34.1
2024-03-04 06:33:15.375560057,A0008,Linha A - Bloco Fixo,A-B03,Bloco Fixo,1073.0,257.5,Verde,109.6,36.6
2024-03-04 06:33:45.934561753,A0008,Linha A - Bloco Fixo,A-B02,Bloco Fixo,695.0,262.3,Verde,110.6,23.6
2024-03-04 06:33:52.073144731,B0020,Linha B - CBTC,B-B04,CBTC,513.0,106.6,Verde,87.2,20.5
2024-03-04 06:34:02.141814250,B0021,Linha B - CBTC,B-B01,CBTC,784.0,120.2,Verde,87.7,30.7
2024-03-04 06:34:11.805872039,B0020,Linha B - CBTC,B-B03,CBTC,397.0,127.8,Verde,81.8,17.2
2024-03-04 06:34:34.766326867,B0018,Linha B - CBTC,B-B05,CBTC,775.0,83.1,Amarelo,42.4,64.7
2024-03-04 06:35:01.908495970,A0008,Linha A - Bloco Fixo,A-B04,Bloco Fixo,928.0,218.7,Verde,112.7,29.6
2024-03-04 06:35:05.172771697,B0021,Linha B - CBTC,B-B02,CBTC,738.0,146.3,Verde,84.1,31.1
2024-03-04 06:35:34.546159135,B0019,Linha B - CBTC,B-B05,CBTC,775.0,54.0,Amarelo,40.9,68.9
2024-03-04 06:35:41.016934059,B0022,Linha B - CBTC,B-B01,CBTC,784.0,111.1,Verde,89.9,32.7
2024-03-04 06:35:56.841390620,A0008,Linha A - Bloco Fixo,A-B05,Bloco Fixo,385.0,244.7,Verde,111.7,12.0
2024-03-04 06:36:00.150510492,B0021,Linha B - CBTC,B-B04,CBTC,513.0,112.4,Verde,84.9,22.8
2024-03-04 06:36:19.883237800,B0021,Linha B - CBTC,B-B03,CBTC,397.0,136.4,Verde,85.9,16.4
2024-03-04 06:36:31.995794098,B0023,Linha B - CBTC,B-B01,CBTC,784.0,44.7,Vermelho,5.9,456.7
2024-03-04 06:36:44.047891506,B0022,Linha B - CBTC,B-B02,CBTC,738.0,97.7,Verde,88.2,29.3
2024-03-04 06:37:31.260042716,B0020,Linha B - CBTC,B-B05,CBTC,775.0,125.7,Verde,84.0,33.3
2024-03-04 06:37:35.026751545,B0023,Linha B - CBTC,B-B02,CBTC,738.0,53.2,Vermelho,6.9,381.6
2024-03-04 06:37:39.025630301,B0022,Linha B - CBTC,B-B04,CBTC,513.0,110.0,Verde,84.7,22.5
2024-03-04 06:37:43.346912202,A0009,Linha A - Bloco Fixo,A-B01,Bloco Fixo,997.0,338.1,Verde,109.1,32.4
2024-03-04 06:37:58.758357609,B0022,Linha B - CBTC,B-B03,CBTC,397.0,106.5,Verde,87.8,15.8
2024-03-04 06:38:23.010032475,A0009,Linha A - Bloco Fixo,A-B03,Bloco Fixo,1073.0,263.6,Verde,118.3,33.7
2024-03-04 06:38:29.645037765,B0024,Linha B - CBTC,B-B01,CBTC,784.0,114.4,Verde,88.6,32.8
2024-03-04 06:38:30.004490340,B0023,Linha B - CBTC,B-B04,CBTC,513.0,47.8,Vermelho,1.2,369.4
2024-03-04 06:38:49.737217648,B0023,Linha B - CBTC,B-B03,CBTC,397.0,49.3,Vermelho,5.1,282.6
2024-03-04 06:38:53.569034171,A0009,Linha A - Bloco Fixo,A-B02,Bloco Fixo,695.0,293.5,Verde,113.0,23.0
2024-03-04 06:39:28.147840730,B0025,Linha B - CBTC,B-B01,CBTC,784.0,66.3,Amarelo,51.2,54.5
2024-03-04 06:39:32.675995212,B0024,Linha B - CBTC,B-B02,CBTC,738.0,132.4,Verde,88.9,29.1
2024-03-04 06:39:39.337408477,B0021,Linha B - CBTC,B-B05,CBTC,775.0,114.9,Verde,84.6,32.9
2024-03-04 06:40:09.542968388,A0009,Linha A - Bloco Fixo,A-B04,Bloco Fixo,928.0,279.7,Verde,117.4,28.1
2024-03-04 06:40:27.653734007,B0024,Linha B - CBTC,B-B04,CBTC,513.0,115.0,Verde,83.2,22.6
2024-03-04 06:40:31.178798177,B0025,Linha B - CBTC,B-B02,CBTC,738.0,54.1,Amarelo,41.2,65.2
2024-03-04 06:40:47.386461315,B0024,Linha B - CBTC,B-B03,CBTC,397.0,130.2,Verde,84.8,17.2
2024-03-04 06:41:04.475863038,A0009,Linha A - Bloco Fixo,A-B05,Bloco Fixo,385.0,290.3,Verde,119.2,11.5
2024-03-04 06:41:15.867822651,B0026,Linha B - CBTC,B-B01,CBTC,784.0,122.3,Verde,86.2,33.0
2024-03-04 06:41:18.212528286,B0022,Linha B - CBTC,B-B05,CBTC,775.0,107.1,Verde,86.6,31.4
2024-03-04 06:41:26.156536972,B0025,Linha B - CBTC,B-B04,CBTC,513.0,66.6,Amarelo,41.8,45.8
2024-03-04 06:41:45.889264280,B0025,Linha B - CBTC,B-B03,CBTC,397.0,57.0,Amarelo,41.0,36.6
2024-03-04 06:42:09.191388325,B0023,Linha B - CBTC,B-B05,CBTC,775.0,55.5,Amarelo,53.6,49.7
2024-03-04 06:42:11.397472737,A0010,Linha A - Bloco Fixo,A-B01,Bloco Fixo,997.0,292.8,Verde,116.7,29.5
2024-03-04 06:42:18.898780098,B0026,Linha B - CBTC,B-B02,CBTC,738.0,120.2,Verde,85.3,32.7
2024-03-04 06:42:33.681227032,B0027,Linha B - CBTC,B-B01,CBTC,784.0,75.7,Amarelo,39.1,73.0
2024-03-04 06:42:51.060593010,A0010,Linha A - Bloco Fixo,A-B03,Bloco Fixo,1073.0,260.0,Verde,111.8,35.1
2024-03-04 06:43:13.876518893,B0026,Linha B - CBTC,B-B04,CBTC,513.0,122.1,Verde,85.8,22.2
2024-03-04 06:43:21.619594706,A0010,Linha A - Bloco Fixo,A-B02,Bloco Fixo,695.0,237.8,Verde,111.8,22.8
2024-03-04 06:43:33.609246201,B0026,Linha B - CBTC,B-B03,CBTC,397.0,110.0,Verde,83.7,17.6
2024-03-04 06:43:36.712184479,B0027,Linha B - CBTC,B-B02,CBTC,738.0,68.4,Amarelo,39.5,69.9
2024-03-04 06:43:44.685244888,B0028,Linha B - CBTC,B-B01,CBTC,784.0,74.6,Amarelo,49.8,54.3
2024-03-04 06:44:06.840631992,B0024,Linha B - CBTC,B-B05,CBTC,775.0,126.4,Verde,89.3,31.4
2024-03-04 06:44:31.689923274,B0027,Linha B - CBTC,B-B04,CBTC,513.0,82.8,Amarelo,46.6,39.5
2024-03-04 06:44:37.593528923,A0010,Linha A - Bloco Fixo,A-B04,Bloco Fixo,928.0,251.3,Verde,119.0,26.9
2024-03-04 06:44:47.716202335,B0028,Linha B - CBTC,B-B02,CBTC,738.0,74.2,Amarelo,36.5,76.3
2024-03-04 06:44:51.422650582,B0027,Linha B - CBTC,B-B03,CBTC,397.0,66.2,Amarelo,36.5,39.9
2024-03-04 06:45:05.343434957,B0025,Linha B - CBTC,B-B05,CBTC,775.0,50.1,Vermelho,4.4,558.0
2024-03-04 06:45:13.637494461,B0029,Linha B - CBTC,B-B01,CBTC,784.0,87.8,Amarelo,42.5,68.8
2024-03-04 06:45:19.839924964,A0011,Linha A - Bloco Fixo,A-B01,Bloco Fixo,997.0,178.1,Amarelo,59.5,62.5
2024-03-04 06:45:32.526423573,A0010,Linha A - Bloco Fixo,A-B05,Bloco Fixo,385.0,305.8,Verde,109.1,12.6
2024-03-04 06:45:42.693941130,B0028,Linha B - CBTC,B-B04,CBTC,513.0,61.8,Amarelo,47.2,37.8
2024-03-04 06:45:59.503045237,A0011,Linha A - Bloco Fixo,A-B03,Bloco Fixo,1073.0,209.6,Verde,112.3,35.8
2024-03-04 06:46:02.426668438,B0028,Linha B - CBTC,B-B03,CBTC,397.0,74.1,Amarelo,50.7,29.1
2024-03-04 06:46:16.668451908,B0029,Linha B - CBTC,B-B02,CBTC,738.0,96.5,Verde,89.7,30.1
2024-03-04 06:46:30.062046933,A0011,Linha A - Bloco Fixo,A-B02,Bloco Fixo,695.0,162.5,Amarelo,51.6,48.2
2024-03-04 06:46:49.055055550,B0030,Linha B - CBTC,B-B01,CBTC,784.0,102.7,Verde,86.6,31.0
2024-03-04 06:46:53.063416878,B0026,Linha B - CBTC,B-B05,CBTC,775.0,100.4,Verde,89.9,31.4
2024-03-04 06:47:11.646190703,B0029,Linha B - CBTC,B-B04,CBTC,513.0,91.4,Verde,84.9,22.7
2024-03-04 06:47:31.378918011,B0029,Linha B - CBTC,B-B03,CBTC,397.0,94.8,Verde,81.4,18.4
2024-03-04 06:47:46.035981150,A0011,Linha A - Bloco Fixo,A-B04,Bloco Fixo,928.0,190.1,Verde,111.0,30.1
2024-03-04 06:47:52.086012997,B0030,Linha B - CBTC,B-B02,CBTC,738.0,98.7,Verde,86.0,30.9
2024-03-04 06:48:10.876821259,B0027,Linha B - CBTC,B-B05,CBTC,775.0,77.1,Amarelo,40.5,71.5
2024-03-04 06:48:12.949849291,B0031,Linha B - CBTC,B-B01,CBTC,784.0,72.1,Amarelo,50.1,57.0
2024-03-04 06:48:40.968875800,A0011,Linha A - Bloco Fixo,A-B05,Bloco Fixo,385.0,201.6,Verde,119.9,11.3
2024-03-04 06:48:47.063751792,B0030,Linha B - CBTC,B-B04,CBTC,513.0,109.4,Verde,85.3,22.7
2024-03-04 06:49:06.796479100,B0030,Linha B - CBTC,B-B03,CBTC,397.0,97.3,Verde,81.2,18.2
2024-03-04 06:49:15.980806738,B0031,Linha B - CBTC,B-B02,CBTC,738.0,83.8,Amarelo,46.0,58.6
2024-03-04 06:49:21.880839115,B0028,Linha B - CBTC,B-B05,CBTC,775.0,73.0,Amarelo,49.1,58.0
2024-03-04 06:49:41.964972009,A0012,Linha A - Bloco Fixo,A-B01,Bloco Fixo,997.0,297.7,Verde,109.0,32.9
2024-03-04 06:50:07.667431246,B0032,Linha B - CBTC,B-B01,CBTC,784.0,102.5,Verde,84.2,33.0
2024-03-04 06:50:10.958545533,B0031,Linha B - CBTC,B-B04,CBTC,513.0,95.1,Verde,86.2,21.5
2024-03-04 06:50:21.628092282,A0012,Linha A - Bloco Fixo,A-B03,Bloco Fixo,1073.0,270.8,Verde,108.7,34.0
2024-03-04 06:50:30.691272841,B0031,Linha B - CBTC,B-B03,CBTC,397.0,83.8,Amarelo,39.2,35.9
2024-03-04 06:50:50.833088688,B0029,Linha B - CBTC,B-B05,CBTC,775.0,100.1,Verde,86.9,33.5
2024-03-04 06:50:52.187093978,A0012,Linha A - Bloco Fixo,A-B02,Bloco Fixo,695.0,283.9,Verde,108.9,23.9
2024-03-04 06:51:10.698388693,B0032,Linha B - CBTC,B-B02,CBTC,738.0,118.8,Verde,83.4,31.7
2024-03-04 06:51:36.515696785,B0033,Linha B - CBTC,B-B01,CBTC,784.0,91.9,Verde,87.1,31.0
2024-03-04 06:52:05.676127488,B0032,Linha B - CBTC,B-B04,CBTC,513.0,101.2,Verde,81.1,21.8
2024-03-04 06:52:08.161028195,A0012,Linha A - Bloco Fixo,A-B04,Bloco Fixo,928.0,292.2,Verde,116.8,28.5
